latitude,longitude,mean_solar_incidence_kwh_m2_per_hour,rank
47.3,10.7,1.877561848497268,569
46.6,7.0,1.8771630110928963,570
46.3,6.3,1.8770441850546447,571
46.3,6.2,1.8770420743715848,572
47.1,9.8,1.8766635297814207,573
46.3,5.8,1.876252690737705,574
45.9,8.9,1.8760836507103826,575
47.0,9.6,1.8753024411748633,576
46.0,9.0,1.8749907752185793,577
45.9,8.8,1.8746248276666664,578
47.2,10.1,1.8745898250546444,579
47.3,10.5,1.8740618557923496,580
46.0,8.9,1.8734652640846994,581
46.4,6.7,1.8732748229508196,582
46.7,7.2,1.873136921420765,583
45.9,8.7,1.873051465259563,584
46.5,6.9,1.8729674949726776,585
46.0,8.7,1.8727874332240437,586
46.0,8.8,1.872004861147541,587
46.4,6.6,1.870175914863388,588
47.0,9.0,1.8700805278961747,589
47.0,9.5,1.8694838622950818,590
47.0,9.1,1.869446490601093,591
47.0,9.4,1.8684095455464482,592
46.4,5.9,1.867257879480874,593
46.4,6.5,1.8667522648633876,594
46.4,6.0,1.8665108873497265,595
46.4,5.8,1.8660854877322408,596
47.0,9.3,1.8660824637978142,597
47.2,10.0,1.865626373989071,598
47.0,8.9,1.8654427610655735,599
47.3,10.4,1.8652239472131147,600
46.4,6.1,1.8642358344535517,601
46.9,8.3,1.862531630054645,602
46.6,6.9,1.8622356991803277,603
46.7,7.1,1.862075590601093,604
47.0,9.2,1.8618775001639343,605
46.4,6.4,1.8617798505737706,606
46.4,6.2,1.8604115357103823,607
47.2,9.9,1.8598997375409838,608
46.4,6.3,1.8597187412021858,609
47.0,8.8,1.8592883128961746,610
47.1,9.7,1.859189684125683,611
46.8,8.0,1.8586820276775957,612
46.7,7.0,1.8580310607103823,613
46.5,6.8,1.856393240655738,614
46.8,7.9,1.8548733024043713,615
46.5,5.9,1.854513255942623,616
46.5,5.8,1.8537258718032787,617
46.5,6.0,1.8535850281967212,618
47.3,10.3,1.8516935985519125,619
46.5,6.1,1.8512892862568306,620
47.2,9.8,1.8502829490710382,621
46.8,7.8,1.8501257274863385,622
46.7,6.9,1.849773118306011,623
47.0,8.7,1.849476834535519,624
46.5,6.7,1.8494304057650273,625
46.6,5.9,1.8478392803551915,626
46.5,6.2,1.8472808753825138,627
47.1,9.6,1.8471166075956282,628
46.6,5.8,1.847049662035519,629
46.6,6.0,1.847000005273224,630
46.6,6.8,1.8463873669398905,631
46.5,6.6,1.8454934458743169,632
46.8,7.7,1.845434723715847,633
46.6,6.1,1.8446263969398906,634
46.5,6.5,1.8437286754371587,635
46.6,6.7,1.8436179844371583,636
46.8,7.2,1.8434103573224043,637
46.5,6.3,1.8433740118852457,638
46.8,7.3,1.8431571315300546,639
46.6,6.6,1.8426743156557375,640
47.3,10.2,1.8423041985519126,641
46.9,8.2,1.8420555047978142,642
46.5,6.4,1.8420438399453551,643
46.8,7.4,1.8418815094535521,644
46.7,5.9,1.8417708170382512,645
46.8,7.6,1.8412944717103825,646
46.7,6.0,1.8411716407240437,647
46.6,6.5,1.8409294475683062,648
46.6,6.2,1.8409256178961748,649
46.7,5.8,1.8407878294672129,650
47.1,9.5,1.8407438199726778,651
46.8,7.1,1.8407029107103827,652
46.8,7.5,1.8405596334863388,653
47.1,9.3,1.8405289634262294,654
46.7,6.5,1.8398273126502733,655
47.1,9.2,1.8398237227595629,656
47.1,9.4,1.839771662513661,657
46.7,6.8,1.8396001709016394,658
46.6,6.4,1.839289417295082,659
46.7,6.4,1.8390342723387978,660
46.6,6.3,1.8388545497267756,661
46.7,6.6,1.838749897964481,662
46.7,6.1,1.8387393980737703,663
46.7,6.3,1.838458145327869,664
47.1,9.1,1.8382238298360654,665
46.7,6.2,1.838168956161202,666
47.0,8.6,1.8381104713661203,667
46.8,6.4,1.8378108290710384,668
46.7,6.7,1.8373884132786886,669
46.8,6.3,1.837298262338798,670
46.8,6.2,1.836915303087432,671
46.8,7.0,1.8367679273907105,672
46.8,6.1,1.8365157781693988,673
46.8,6.0,1.836185278169399,674
46.8,6.5,1.8355768008743172,675
46.8,5.9,1.8353287349180327,676
47.2,9.7,1.8349670116120218,677
47.4,10.5,1.8343166918032785,678
46.9,8.1,1.834141284945355,679
46.8,5.8,1.8341240096994536,680
47.1,9.0,1.834033045819672,681
47.4,10.6,1.833776341885246,682
47.4,10.4,1.8331582097267758,683
47.4,10.7,1.8331369303551917,684
47.3,10.1,1.8328855723497268,685
46.8,6.6,1.8327741469398908,686
46.8,6.9,1.832712848442623,687
46.9,6.4,1.8314555080163932,688
46.9,6.3,1.8306854098770489,689
46.8,6.7,1.8304114975300547,690
46.8,6.8,1.8303053642213116,691
46.9,6.2,1.8298718307923498,692
47.1,8.9,1.8294753082240438,693
46.9,6.1,1.8293453036202187,694
46.9,8.0,1.8290620138524591,695
47.0,8.5,1.8288391842076503,696
46.9,6.0,1.828832189579235,697
46.9,6.5,1.8284956049726775,698
46.9,7.9,1.8282879904371587,699
47.4,10.3,1.8278357255191258,700
46.9,5.9,1.8277818802185792,701
46.9,7.0,1.8277277431420764,702
46.9,5.8,1.8265757156010929,703
46.9,7.1,1.826469854726776,704
47.9,10.5,1.826025855191257,705
47.9,10.6,1.8259745344808742,706
47.9,10.7,1.8259304982240439,707
46.9,7.8,1.8256405325819671,708
46.9,6.6,1.8250778522677595,709
47.9,10.4,1.8249714932513663,710
47.0,6.4,1.8248017845491804,711
47.2,9.1,1.8244517213633884,712
47.0,6.3,1.824418289918033,713
47.1,8.8,1.8242988002185792,714
46.9,6.9,1.82372033465847,715
47.3,10.0,1.8236686916393443,716
47.2,9.2,1.8232976244945358,717
47.2,9.6,1.8231805100546448,718
47.0,6.2,1.823155252103825,719
46.9,7.2,1.8227526947267758,720
47.9,10.3,1.8226255622677598,721
47.2,9.0,1.8223000727595626,722
46.9,6.7,1.8222818091256832,723
47.0,6.5,1.8220770797103825,724
47.0,6.1,1.821935306010929,725
47.5,10.6,1.821836038224044,726
46.9,6.8,1.8218034699180328,727
47.5,10.5,1.8217901807923498,728
47.5,10.7,1.8215918740437156,729
46.9,7.7,1.8214480483879782,730
47.0,6.0,1.8213109692076501,731
47.2,9.3,1.8204299891092894,732
47.5,10.4,1.820429101612022,733
46.9,7.3,1.8202715971038248,734
47.0,5.9,1.8201619556830602,735
47.9,10.2,1.8193265865027324,736
47.4,10.2,1.8190812076229508,737
46.9,7.4,1.8190698142076502,738
47.0,5.8,1.8189507759972676,739
47.8,10.7,1.8188457051639344,740
47.8,10.6,1.8188134521857924,741
47.8,10.5,1.818645503032787,742
47.2,8.9,1.8186076306830599,743
47.3,9.9,1.8183893646584701,744
47.0,6.6,1.818192640751366,745
47.5,10.3,1.8179023883606555,746
46.9,7.5,1.8178128142349725,747
47.8,10.4,1.8177543738251365,748
47.0,8.4,1.8175691474863385,749
46.9,7.6,1.817446369180328,750
47.1,6.3,1.8172869917213117,751
47.1,6.4,1.8171763842896176,752
47.2,9.5,1.8165545566120218,753
47.9,10.1,1.8160134369945355,754
47.1,6.2,1.8158825728961747,755
47.2,9.4,1.8155827486338796,756
47.1,6.1,1.8153066787431693,757
47.8,10.3,1.8148091533879782,758
47.1,6.5,1.8148036019125684,759
47.0,6.7,1.8145336089344262,760
47.1,6.0,1.8143298239836065,761
47.0,6.8,1.8140600846448087,762
47.5,10.2,1.8139517312021856,763
47.1,5.9,1.8136549911584696,764
47.2,8.8,1.8135759540163934,765
47.1,8.7,1.813468440327869,766
47.3,9.8,1.813256386420765,767
47.0,6.9,1.813083279180328,768
47.9,10.0,1.8127183895628418,769
47.1,5.8,1.8124382948251367,770
47.7,10.7,1.8116209046448088,771
47.8,10.2,1.8115444982513662,772
47.7,10.6,1.8113189438251365,773
47.7,10.5,1.8108873333606557,774
47.1,6.6,1.8108543999453552,775
47.0,7.0,1.810594577650273,776
47.6,10.7,1.8105702505737706,777
47.7,10.4,1.8104146902185791,778
47.6,10.6,1.8103975150819671,779
47.9,9.9,1.8100651519125683,780
47.6,10.5,1.8099029024316942,781
47.3,9.1,1.8098115023879782,782
47.4,10.1,1.8097183280327869,783
47.3,9.0,1.8090587448360655,784
47.6,10.4,1.8089662001092897,785
47.2,5.9,1.8086458335956286,786
47.2,6.0,1.8086176923770492,787
47.3,9.2,1.8084482462841531,788
47.8,10.1,1.8082263046174865,789
47.2,5.8,1.808020536819672,790
47.3,9.7,1.8077867397677594,791
47.3,8.9,1.807738226803279,792
47.2,6.3,1.8076641690163933,793
47.0,8.3,1.8076384793442624,794
47.9,9.8,1.8074298720218578,795
47.2,6.1,1.8074192721857925,796
47.2,6.4,1.8071577713114753,797
47.7,10.3,1.8071480412295082,798
47.1,6.7,1.806895286874317,799
47.2,6.2,1.8067041519398905,800
47.6,10.3,1.8062092085519124,801
47.5,10.1,1.8057444306284154,802
47.0,7.1,1.8053098340983609,803
47.2,6.5,1.8050957920491806,804
47.3,9.3,1.8050896314781422,805
47.8,10.0,1.805026064234973,806
47.3,8.8,1.8046563478551911,807
47.9,9.7,1.8046028001912566,808
47.7,10.2,1.8037762874043715,809
47.3,5.9,1.8032257920601091,810
47.3,5.8,1.8030507503415303,811
47.3,6.0,1.803049689590164,812
47.1,6.8,1.802975846191257,813
47.6,10.2,1.8028376031693987,814
47.2,8.7,1.8024417407650275,815
47.8,9.9,1.8022489128688524,816
